angelegt_am,tatzeit_anfang_datum,tatzeit_anfang_stunde,tatzeit_ende_datum,tatzeit_ende_stunde,lor,schadeshoehe,versuch,art_des_fahrrads,delikt,erfassungsgrund,id
2023-06-09,2023-06-03,19,2023-06-04,9,12100101,210,0,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,37
2023-06-09,2023-06-09,0,2023-06-09,0,1300733,0,0,diverse Fahrräder,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,38
2023-06-09,2023-06-08,1,2023-06-08,6,8200833,1010,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,39
2023-06-09,2023-06-08,21,2023-06-09,10,2200213,1150,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,40
2023-06-09,2023-06-05,17,2023-06-08,17,6100205,999,0,Herrenfahrrad,Keller- und Bode0bruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,41
2023-06-09,2023-06-08,15,2023-06-09,10,11200513,298,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,42
2023-06-09,2023-06-06,14,2023-06-06,15,1300836,2400,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,43
2023-06-09,2023-06-09,15,2023-06-09,15,9501939,2000,0,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,44
2023-06-09,2023-06-06,9,2023-06-06,20,4300623,578,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,45
2023-06-09,2023-06-08,19,2023-06-08,22,6300634,270,0,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,46
2023-06-09,2023-06-07,18,2023-06-08,7,3400725,100,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,47
2023-06-09,2023-06-08,22,2023-06-09,2,2300419,790,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,48
2023-06-09,2023-06-08,17,2023-06-09,10,6200420,2400,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,49
2023-06-09,2023-05-26,12,2023-05-26,16,9200715,1290,0,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,50
2023-06-09,2023-06-08,21,2023-06-09,8,3701659,0,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,51
2023-06-09,2023-06-08,22,2023-06-09,7,9200511,884,0,Mountainbike,Keller- und Bode0bruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,52
2023-06-09,2023-06-09,14,2023-06-09,17,5300735,2000,0,Damenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl aus Keller/Boden von Fahrrädern,53
2023-06-08,2023-06-05,17,2023-06-06,7,2200209,853,0,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,54
2023-06-08,2023-06-06,9,2023-06-06,18,2500834,600,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,55
2023-06-08,2023-05-13,22,2023-05-14,8,8100208,1700,0,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,56
2023-06-08,2023-06-07,8,2023-06-07,19,1100309,750,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,57
2023-06-08,2023-06-07,11,2023-06-07,13,2100106,750,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,58
2023-06-08,2023-06-08,8,2023-06-08,10,1100416,199,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,59
2023-06-08,2023-06-07,12,2023-06-07,23,6300526,2600,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,60
2023-06-08,2023-06-07,18,2023-06-07,22,4300621,2849,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,61
2023-06-08,2023-06-08,9,2023-06-08,14,8100208,200,0,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,62
2023-06-08,2023-05-05,9,2023-05-05,17,1200625,51,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,63
2023-06-08,2023-06-08,10,2023-06-08,19,3501038,4500,0,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,64
2023-06-08,2023-06-07,17,2023-06-08,17,11400929,400,0,Damenfahrrad,Keller- und Bode0bruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,65
2023-06-08,2023-06-07,8,2023-06-08,7,1200519,350,0,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,66
2023-06-08,2023-06-07,16,2023-06-08,7,3701555,1110,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,67
2023-06-08,2023-06-09,4,2023-06-09,4,3200206,629,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,68
2023-06-08,2023-06-07,18,2023-06-07,23,2300419,2000,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,69
2023-06-08,2023-06-06,16,2023-06-07,6,3601142,948,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,70
2023-06-08,2023-06-06,16,2023-06-06,19,10200423,653,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,71
2023-06-08,2023-06-07,21,2023-06-08,20,1300732,180,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,72
2023-06-08,2023-06-07,19,2023-06-08,7,2400624,1000,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,73
2023-06-08,2023-06-07,0,2023-06-08,6,8401243,450,0,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,74
2023-06-08,2023-06-06,18,2023-06-06,18,8100102,1200,0,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,75
2023-06-08,2023-06-07,18,2023-06-07,23,6400737,749,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,76
2023-06-08,2023-06-08,8,2023-06-08,9,6300633,700,0,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,77
2023-06-08,2023-06-08,6,2023-06-08,12,7200308,1713,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,78
2023-06-08,2023-06-06,16,2023-06-07,6,3601142,499,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,79
2023-06-08,2023-06-07,19,2023-06-08,8,3601453,520,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,80
2023-06-08,2023-06-07,19,2023-06-08,1,2500835,1799,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,81
2023-06-08,2023-06-06,7,2023-06-07,18,6100205,422,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,82
2023-06-08,2023-06-02,7,2023-06-02,17,11401032,350,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,83
2023-06-08,2023-06-06,18,2023-06-06,22,8100312,860,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,84
2023-06-08,2023-06-05,21,2023-06-05,21,1300836,770,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,85
2023-06-08,2023-06-05,13,2023-06-05,17,4501153,1277,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,86
2023-06-08,2023-05-26,18,2023-05-29,9,3601245,799,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,87
2023-06-08,2023-06-07,17,2023-06-07,22,11501341,1500,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,88
2023-06-08,2023-06-06,18,2023-06-08,7,1100312,400,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,89
2023-06-08,2023-06-07,21,2023-06-08,9,1400942,160,0,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,90
2023-06-08,2023-06-06,20,2023-06-08,14,3601346,3000,0,diverse Fahrräder,Keller- und Bode0bruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,91
2023-06-08,2023-06-08,15,2023-06-08,17,8100206,700,0,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,92
2023-06-08,2023-06-07,21,2023-06-08,8,2200211,1027,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,93
2023-06-08,2023-06-08,6,2023-06-08,6,1400939,0,0,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,94
2023-06-08,2023-06-08,10,2023-06-08,12,7200411,1800,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,95
2023-06-08,2023-06-07,19,2023-06-08,9,2500835,791,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,96
2023-06-08,2023-06-08,16,2023-06-08,21,6200313,850,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,97
2023-06-08,2023-06-05,16,2023-06-08,10,2200209,369,0,Kinderfahrrad,Keller- und Bode0bruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,98
2023-06-08,2023-06-08,16,2023-06-08,18,2100106,450,0,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,99
2023-06-08,2023-05-21,17,2023-05-22,15,4501153,410,0,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,100
2023-06-08,2023-06-08,7,2023-06-08,9,1401048,1000,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,101
2023-06-08,2023-06-07,9,2023-06-07,19,8100206,300,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,102
2023-06-08,2023-06-08,13,2023-06-08,16,11200512,3599,0,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,103
2023-06-08,2023-06-06,7,2023-06-06,20,9200716,349,0,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,104
2023-06-08,2023-06-08,16,2023-06-08,16,1401044,1600,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,105
2023-06-08,2023-06-07,22,2023-06-08,5,9200511,200,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,106
2023-06-08,2023-05-31,18,2023-06-01,23,7100206,1199,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,107
2023-06-08,2023-06-08,10,2023-06-08,20,4501040,620,0,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,108
2023-06-08,2023-06-06,18,2023-06-06,18,11400929,1800,0,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,109
2023-06-08,2023-06-07,20,2023-06-08,7,9300920,499,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,110
2023-06-08,2023-06-07,16,2023-06-08,7,3501037,4100,0,Lastenfahrrad,Keller- und Bode0bruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,111
2023-06-08,2023-06-04,21,2023-06-05,11,4300623,999,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,112
2023-06-08,2023-06-07,21,2023-06-07,21,9300922,750,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,113
2023-06-08,2023-06-06,11,2023-06-08,8,4500938,150,0,Damenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,114
2023-05-26,2023-05-25,9,2023-05-25,21,4200311,2100,0,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1040
2023-06-08,2023-06-07,20,2023-06-08,16,1401047,2290,0,Herrenfahrrad,Keller- und Bode0bruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,115
2023-06-08,2023-06-08,10,2023-06-08,15,9301126,394,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,116
2023-06-08,2023-04-23,12,2023-04-23,12,2100104,10000,0,Lastenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,117
2023-06-08,2023-06-07,16,2023-06-07,17,8100207,934,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,118
2023-06-08,2023-05-24,10,2023-05-24,17,1100206,1874,0,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,119
2023-06-08,2023-05-07,19,2023-05-08,1,2200212,4228,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,120
2023-06-08,2023-06-08,8,2023-06-08,10,1100416,199,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,121
2023-06-08,2023-06-08,9,2023-06-08,13,2500835,2018,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,122
2023-06-08,2023-06-07,9,2023-06-08,8,1100416,650,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,123
2023-06-08,2023-06-07,23,2023-06-08,11,4501045,578,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,124
2023-06-08,2023-06-03,4,2023-06-05,14,3400827,550,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,125
2023-06-08,2023-06-05,17,2023-06-06,8,10200627,769,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,126
2023-06-08,2023-06-08,9,2023-06-08,14,1100308,1750,0,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,127
2023-06-08,2023-06-08,14,2023-06-08,14,1300836,7400,0,diverse Fahrräder,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,128
2023-06-08,2023-06-07,20,2023-06-08,7,4300415,699,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,129
2023-06-07,2023-06-06,19,2023-06-07,7,3400826,860,0,Damenfahrrad,Keller- und Bode0bruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,130
2023-06-07,2023-06-06,12,2023-06-06,15,6400735,1000,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,131
2023-06-07,2023-06-03,21,2023-06-04,18,7601236,300,0,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,132
2023-06-07,2023-06-06,14,2023-06-06,16,4400830,5800,0,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,133
2023-06-07,2023-06-05,21,2023-06-07,20,12500927,599,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,134
2023-06-07,2023-05-24,18,2023-05-25,8,8100101,300,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,135
2023-06-07,2023-06-06,13,2023-06-06,17,12500928,712,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,136
2023-06-07,2023-06-04,20,2023-06-05,15,8200623,840,0,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,137
2023-06-07,2023-06-05,10,2023-06-06,12,3400722,479,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,138
2023-06-07,2023-06-06,19,2023-06-06,22,6200422,3322,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,139
2023-06-07,2023-06-07,8,2023-06-07,10,6300634,5474,0,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,140
2023-06-07,2023-06-04,15,2023-06-06,18,4200204,788,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,141
2023-06-07,2023-05-31,9,2023-05-31,17,6400737,1600,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,142
2023-06-07,2023-06-06,20,2023-06-07,8,7200413,850,0,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,143
2023-06-07,2023-06-07,14,2023-06-07,14,3601450,500,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,144
2023-06-07,2023-06-06,18,2023-06-07,18,8100416,8000,0,diverse Fahrräder,Keller- und Bode0bruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,145
2023-06-07,2023-06-07,18,2023-06-07,19,3601243,738,0,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,146
2023-06-07,2023-06-05,21,2023-06-07,20,12500927,250,0,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,147
2023-06-07,2023-06-06,18,2023-06-07,16,11300722,1014,0,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,148
2023-06-07,2023-06-01,16,2023-06-02,10,9501939,549,0,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,149
2023-06-07,2023-06-04,9,2023-06-06,15,1400940,398,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,150
2023-06-07,2023-06-05,16,2023-06-06,17,5100316,2639,0,Herrenfahrrad,Keller- und Bode0bruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,151
2023-06-07,2023-06-07,8,2023-06-07,8,4500938,0,1,Rennrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,152
2023-06-07,2023-06-06,0,2023-06-06,0,8100314,0,0,Fahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,153
2023-06-07,2023-06-05,15,2023-06-07,10,7200409,1179,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,154
2023-06-07,2023-06-06,15,2023-06-07,0,12400720,999,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,155
2023-06-07,2023-06-05,23,2023-06-06,9,8100312,789,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,156
2023-06-07,2023-06-06,12,2023-06-06,19,6400844,3799,0,Rennrad,Keller- und Bode0bruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,157
2023-06-07,2023-05-24,23,2023-05-25,9,6100102,800,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,158
2023-06-07,2023-05-24,18,2023-05-25,8,4400832,1500,0,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,159
2023-06-07,2023-06-07,10,2023-06-07,14,1100415,0,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,160
2023-06-07,2023-06-03,18,2023-06-04,16,4501147,333,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,161
2023-06-07,2023-06-06,18,2023-06-06,22,7100103,1440,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,162
2023-06-07,2023-06-05,8,2023-06-05,20,9200613,1399,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,163
2023-06-07,2023-05-09,23,2023-05-10,8,1300834,1126,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,164
2023-06-07,2023-06-05,17,2023-06-07,12,2500835,398,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,165
2023-06-07,2023-06-06,0,2023-06-06,0,6100210,1250,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,166
